quality,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous
class,,,,,,,,,,,
6,7.00,0.270,0.36,20.70,0.045,45.0,170.0,1.001,3.00,0.45,8.8
6,6.30,0.300,0.34,1.60,0.049,14.0,132.0,0.994,3.30,0.49,9.5
6,8.10,0.280,0.40,6.90,0.050,30.0,97.0,0.9951,3.26,0.44,10.1
6,7.20,0.230,0.32,8.50,0.058,47.0,186.0,0.9956,3.19,0.40,9.9
6,7.20,0.230,0.32,8.50,0.058,47.0,186.0,0.9956,3.19,0.40,9.9
6,8.10,0.280,0.40,6.90,0.050,30.0,97.0,0.9951,3.26,0.44,10.1
6,6.20,0.320,0.16,7.00,0.045,30.0,136.0,0.9949,3.18,0.47,9.6
6,7.00,0.270,0.36,20.70,0.045,45.0,170.0,1.001,3.00,0.45,8.8
6,6.30,0.300,0.34,1.60,0.049,14.0,132.0,0.994,3.30,0.49,9.5
6,8.10,0.220,0.43,1.50,0.044,28.0,129.0,0.9938,3.22,0.45,11
5,8.10,0.270,0.41,1.45,0.033,11.0,63.0,0.9908,2.99,0.56,12
5,8.60,0.230,0.40,4.20,0.035,17.0,109.0,0.9947,3.14,0.53,9.7
5,7.90,0.180,0.37,1.20,0.040,16.0,75.0,0.992,3.18,0.63,10.8
7,6.60,0.160,0.40,1.50,0.044,48.0,143.0,0.9912,3.54,0.52,12.4
5,8.30,0.420,0.62,19.25,0.040,41.0,172.0,1.0002,2.98,0.67,9.7
7,6.60,0.170,0.38,1.50,0.032,28.0,112.0,0.9914,3.25,0.55,11.4
6,6.30,0.480,0.04,1.10,0.046,30.0,99.0,0.9928,3.24,0.36,9.6
8,6.20,0.660,0.48,1.20,0.029,29.0,75.0,0.9892,3.33,0.39,12.8
6,7.40,0.340,0.42,1.10,0.033,17.0,171.0,0.9917,3.12,0.53,11.3
5,6.50,0.310,0.14,7.50,0.044,34.0,133.0,0.9955,3.22,0.50,9.5
8,6.20,0.660,0.48,1.20,0.029,29.0,75.0,0.9892,3.33,0.39,12.8
7,6.40,0.310,0.38,2.90,0.038,19.0,102.0,0.9912,3.17,0.35,11
8,6.80,0.260,0.42,1.70,0.049,41.0,122.0,0.993,3.47,0.48,10.5
5,7.60,0.670,0.14,1.50,0.074,25.0,168.0,0.9937,3.05,0.51,9.3
6,6.60,0.270,0.41,1.30,0.052,16.0,142.0,0.9951,3.42,0.47,10
6,7.00,0.250,0.32,9.00,0.046,56.0,245.0,0.9955,3.25,0.50,10.4
6,6.90,0.240,0.35,1.00,0.052,35.0,146.0,0.993,3.45,0.44,10
6,7.00,0.280,0.39,8.70,0.051,32.0,141.0,0.9961,3.38,0.53,10.5
6,7.40,0.270,0.48,1.10,0.047,17.0,132.0,0.9914,3.19,0.49,11.6
7,7.20,0.320,0.36,2.00,0.033,37.0,114.0,0.9906,3.10,0.71,12.3
6,8.50,0.240,0.39,10.40,0.044,20.0,142.0,0.9974,3.20,0.53,10
6,8.30,0.140,0.34,1.10,0.042,7.0,47.0,0.9934,3.47,0.40,10.2
6,7.40,0.250,0.36,2.05,0.050,31.0,100.0,0.992,3.19,0.44,10.8
6,6.20,0.120,0.34,1.50,0.045,43.0,117.0,0.9939,3.42,0.51,9
5,5.80,0.270,0.20,14.95,0.044,22.0,179.0,0.9962,3.37,0.37,10.2
5,7.30,0.280,0.43,1.70,0.080,21.0,123.0,0.9905,3.19,0.42,12.8
5,6.50,0.390,0.23,5.40,0.051,25.0,149.0,0.9934,3.24,0.35,10
6,7.00,0.330,0.32,1.20,0.053,38.0,138.0,0.9906,3.13,0.28,11.2
5,7.30,0.240,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6
5,7.30,0.240,0.39,17.95,0.057,45.0,149.0,0.9999,3.21,0.36,8.6
6,6.70,0.230,0.39,2.50,0.172,63.0,158.0,0.9937,3.11,0.36,9.4
6,6.70,0.240,0.39,2.90,0.173,63.0,157.0,0.9937,3.10,0.34,9.4
6,7.00,0.310,0.26,7.40,0.069,28.0,160.0,0.9954,3.13,0.46,9.8
6,6.60,0.240,0.27,1.40,0.057,33.0,152.0,0.9934,3.22,0.56,9.5
6,6.70,0.230,0.26,1.40,0.060,33.0,154.0,0.9934,3.24,0.56,9.5
7,7.40,0.180,0.31,1.40,0.058,38.0,167.0,0.9931,3.16,0.53,10
4,6.20,0.450,0.26,4.40,0.063,63.0,206.0,0.994,3.27,0.52,9.8
5,6.20,0.460,0.25,4.40,0.066,62.0,207.0,0.9939,3.25,0.52,9.8
6,7.00,0.310,0.26,7.40,0.069,28.0,160.0,0.9954,3.13,0.46,9.8
5,6.90,0.190,0.35,5.00,0.067,32.0,150.0,0.995,3.36,0.48,9.8
6,7.20,0.190,0.31,1.60,0.062,31.0,173.0,0.9917,3.35,0.44,11.7
7,6.60,0.250,0.29,1.10,0.068,39.0,124.0,0.9914,3.34,0.58,11
7,6.20,0.160,0.33,1.10,0.057,21.0,82.0,0.991,3.32,0.46,10.9
6,6.40,0.180,0.35,1.00,0.045,39.0,108.0,0.9911,3.31,0.35,10.9
6,6.80,0.200,0.59,0.90,0.147,38.0,132.0,0.993,3.05,0.38,9.1
6,6.90,0.250,0.35,1.30,0.039,29.0,191.0,0.9908,3.13,0.52,11
6,7.20,0.210,0.34,11.90,0.043,37.0,213.0,0.9962,3.09,0.50,9.6
6,6.00,0.190,0.26,12.40,0.048,50.0,147.0,0.9972,3.30,0.36,8.9
6,6.60,0.380,0.15,4.60,0.044,25.0,78.0,0.9931,3.11,0.38,10.2
6,7.40,0.200,0.36,1.20,0.038,44.0,111.0,0.9926,3.36,0.34,9.9
6,6.80,0.220,0.24,4.90,0.092,30.0,123.0,0.9951,3.03,0.46,8.6
6,6.00,0.190,0.26,12.40,0.048,50.0,147.0,0.9972,3.30,0.36,8.9
5,7.00,0.470,0.07,1.10,0.035,17.0,151.0,0.991,3.02,0.34,10.5
6,6.60,0.380,0.15,4.60,0.044,25.0,78.0,0.9931,3.11,0.38,10.2
6,7.20,0.240,0.27,1.40,0.038,31.0,122.0,0.9927,3.15,0.46,10.3
5,6.20,0.350,0.03,1.20,0.064,29.0,120.0,0.9934,3.22,0.54,9.1
7,6.40,0.260,0.24,6.40,0.040,27.0,124.0,0.9903,3.22,0.49,12.6
5,6.70,0.250,0.13,1.20,0.041,81.0,174.0,0.992,3.14,0.42,9.8
8,6.70,0.230,0.31,2.10,0.046,30.0,96.0,0.9926,3.33,0.64,10.7
5,7.40,0.240,0.29,10.10,0.050,21.0,105.0,0.9962,3.13,0.35,9.5
6,6.20,0.270,0.43,7.80,0.056,48.0,244.0,0.9956,3.10,0.51,9
5,6.80,0.300,0.23,4.60,0.061,50.5,238.5,0.9958,3.32,0.60,9.5
5,6.00,0.270,0.28,4.80,0.063,31.0,201.0,0.9964,3.69,0.71,10
6,8.60,0.230,0.46,1.00,0.054,9.0,72.0,0.9941,2.95,0.49,9.1
8,6.70,0.230,0.31,2.10,0.046,30.0,96.0,0.9926,3.33,0.64,10.7
5,7.40,0.240,0.29,10.10,0.050,21.0,105.0,0.9962,3.13,0.35,9.5
7,7.10,0.180,0.36,1.40,0.043,31.0,87.0,0.9898,3.26,0.37,12.7
7,7.00,0.320,0.34,1.30,0.042,20.0,69.0,0.9912,3.31,0.65,12
5,7.40,0.180,0.30,8.80,0.064,26.0,103.0,0.9961,2.94,0.56,9.3
5,6.70,0.540,0.28,5.40,0.060,21.0,105.0,0.9949,3.27,0.37,9
6,6.80,0.220,0.31,1.40,0.053,34.0,114.0,0.9929,3.39,0.77,10.6
6,7.10,0.200,0.34,16.00,0.050,51.0,166.0,0.9985,3.21,0.60,9.2
5,7.10,0.340,0.20,6.10,0.063,47.0,164.0,0.9946,3.17,0.42,10
6,7.30,0.220,0.30,8.20,0.047,42.0,207.0,0.9966,3.33,0.46,9.5
5,7.10,0.430,0.61,11.80,0.045,54.0,155.0,0.9974,3.11,0.45,8.7
6,7.10,0.440,0.62,11.80,0.044,52.0,152.0,0.9975,3.12,0.46,8.7
6,7.20,0.390,0.63,11.00,0.044,55.0,156.0,0.9974,3.09,0.44,8.7
6,6.80,0.250,0.31,13.30,0.050,69.0,202.0,0.9972,3.22,0.48,9.7
5,7.10,0.430,0.61,11.80,0.045,54.0,155.0,0.9974,3.11,0.45,8.7
6,7.10,0.440,0.62,11.80,0.044,52.0,152.0,0.9975,3.12,0.46,8.7
6,7.20,0.390,0.63,11.00,0.044,55.0,156.0,0.9974,3.09,0.44,8.7
5,6.10,0.270,0.43,7.50,0.049,65.0,243.0,0.9957,3.12,0.47,9
7,6.90,0.240,0.33,1.70,0.035,47.0,136.0,0.99,3.26,0.40,12.6
7,6.90,0.210,0.33,1.80,0.034,48.0,136.0,0.9899,3.25,0.41,12.6
7,7.50,0.170,0.32,1.70,0.040,51.0,148.0,0.9916,3.21,0.44,11.5
6,7.10,0.260,0.29,12.40,0.044,62.0,240.0,0.9969,3.04,0.42,9.2
6,6.00,0.340,0.66,15.90,0.046,26.0,164.0,0.9979,3.14,0.50,8.8
7,8.60,0.265,0.36,1.20,0.034,15.0,80.0,0.9913,2.95,0.36,11.4
4,9.80,0.360,0.46,10.50,0.038,4.0,83.0,0.9956,2.89,0.30,10.1
6,6.00,0.340,0.66,15.90,0.046,26.0,164.0,0.9979,3.14,0.50,8.8
5,7.40,0.250,0.37,13.50,0.060,52.0,192.0,0.9975,3.00,0.44,9.1
5,7.10,0.120,0.32,9.60,0.054,64.0,162.0,0.9962,3.40,0.41,9.4
5,6.00,0.210,0.24,12.10,0.050,55.0,164.0,0.997,3.34,0.39,9.4
5,7.50,0.305,0.40,18.90,0.059,44.0,170.0,1,2.99,0.46,9
5,7.40,0.250,0.37,13.50,0.060,52.0,192.0,0.9975,3.00,0.44,9.1
6,7.30,0.130,0.32,14.40,0.051,34.0,109.0,0.9974,3.20,0.35,9.2
5,7.10,0.120,0.32,9.60,0.054,64.0,162.0,0.9962,3.40,0.41,9.4
6,7.10,0.230,0.35,16.50,0.040,60.0,171.0,0.999,3.16,0.59,9.1
6,7.10,0.230,0.35,16.50,0.040,60.0,171.0,0.999,3.16,0.59,9.1
5,6.90,0.330,0.28,1.30,0.051,37.0,187.0,0.9927,3.27,0.60,10.3
6,6.50,0.170,0.54,8.50,0.082,64.0,163.0,0.9959,2.89,0.39,8.8
5,7.20,0.270,0.46,18.75,0.052,45.0,255.0,1,3.04,0.52,8.9
5,7.20,0.310,0.50,13.30,0.056,68.0,195.0,0.9982,3.01,0.47,9.2
5,6.70,0.410,0.34,9.20,0.049,29.0,150.0,0.9968,3.22,0.51,9.1
5,6.70,0.410,0.34,9.20,0.049,29.0,150.0,0.9968,3.22,0.51,9.1
4,5.50,0.485,0.00,1.50,0.065,8.0,103.0,0.994,3.63,0.40,9.7
6,6.00,0.310,0.24,3.30,0.041,25.0,143.0,0.9914,3.31,0.44,11.3
6,7.00,0.140,0.40,1.70,0.035,16.0,85.0,0.9911,3.19,0.42,11.8
5,7.20,0.310,0.50,13.30,0.056,68.0,195.0,0.9982,3.01,0.47,9.2
5,7.30,0.320,0.48,13.30,0.060,57.0,196.0,0.9982,3.04,0.50,9.2
5,5.90,0.360,0.04,5.70,0.046,21.0,87.0,0.9934,3.22,0.51,10.2
5,7.80,0.240,0.32,12.20,0.054,42.0,138.0,0.9984,3.01,0.54,8.8
5,7.40,0.160,0.31,6.85,0.059,31.0,131.0,0.9952,3.29,0.34,9.7
6,6.90,0.190,0.28,5.00,0.058,14.0,146.0,0.9952,3.29,0.36,9.1
6,6.40,0.130,0.47,1.60,0.092,40.0,158.0,0.9928,3.21,0.36,9.8
6,6.70,0.190,0.36,1.10,0.026,63.0,143.0,0.9912,3.27,0.48,11
5,7.40,0.390,0.23,7.00,0.033,29.0,126.0,0.994,3.14,0.42,10.5
7,6.50,0.240,0.32,7.60,0.038,48.0,203.0,0.9958,3.45,0.54,9.7
7,6.10,0.300,0.56,2.80,0.044,47.0,179.0,0.9924,3.30,0.57,10.9
6,6.10,0.300,0.56,2.70,0.046,46.0,184.0,0.9924,3.31,0.57,10.9
5,5.70,0.260,0.25,10.40,0.020,7.0,57.0,0.994,3.39,0.37,10.6
7,6.50,0.240,0.32,7.60,0.038,48.0,203.0,0.9958,3.45,0.54,9.7
5,6.50,0.425,0.40,13.10,0.038,59.0,241.0,0.9979,3.23,0.57,9
5,6.60,0.240,0.27,15.80,0.035,46.0,188.0,0.9982,3.24,0.51,9.2
5,6.80,0.270,0.22,8.10,0.034,55.0,203.0,0.9961,3.19,0.52,8.9
5,6.70,0.270,0.31,15.70,0.036,44.0,179.0,0.9979,3.26,0.56,9.6
6,8.20,0.230,0.40,1.20,0.027,36.0,121.0,0.992,3.12,0.38,10.7
5,7.10,0.370,0.67,10.50,0.045,49.0,155.0,0.9975,3.16,0.44,8.7
7,6.80,0.190,0.36,1.90,0.035,30.0,96.0,0.9917,3.15,0.54,10.8
6,8.10,0.280,0.39,1.90,0.029,18.0,79.0,0.9923,3.23,0.52,11.8
5,6.30,0.310,0.34,2.20,0.045,20.0,77.0,0.9927,3.30,0.43,10.2
5,7.10,0.370,0.67,10.50,0.045,49.0,155.0,0.9975,3.16,0.44,8.7
6,7.90,0.210,0.40,1.20,0.039,38.0,107.0,0.992,3.21,0.54,10.8
6,8.50,0.210,0.41,4.30,0.036,24.0,99.0,0.9947,3.18,0.53,9.7
6,8.10,0.200,0.40,2.00,0.037,19.0,87.0,0.9921,3.12,0.54,11.2
6,6.30,0.255,0.37,1.10,0.040,37.0,114.0,0.9905,3.00,0.39,10.9
6,5.60,0.160,0.27,1.40,0.044,53.0,168.0,0.9918,3.28,0.37,10.1
4,6.40,0.595,0.14,5.20,0.058,15.0,97.0,0.9951,3.38,0.36,9
7,6.30,0.340,0.33,4.60,0.034,19.0,80.0,0.9917,3.38,0.58,12
6,6.90,0.250,0.30,4.10,0.054,23.0,116.0,0.994,2.99,0.38,9.4
7,7.90,0.220,0.38,8.00,0.043,46.0,152.0,0.9934,3.12,0.32,11.5
6,7.60,0.180,0.46,10.20,0.055,58.0,135.0,0.9968,3.14,0.43,9.9
6,6.90,0.250,0.30,4.10,0.054,23.0,116.0,0.994,2.99,0.38,9.4
5,7.20,0.180,0.41,1.20,0.048,41.0,97.0,0.9919,3.14,0.45,10.4
6,8.20,0.230,0.40,7.50,0.049,12.0,76.0,0.9966,3.06,0.84,9.7
6,7.40,0.240,0.42,14.00,0.066,48.0,198.0,0.9979,2.89,0.42,8.9
6,7.40,0.240,0.42,14.00,0.066,48.0,198.0,0.9979,2.89,0.42,8.9
7,6.10,0.320,0.24,1.50,0.036,38.0,124.0,0.9898,3.29,0.42,12.4
8,5.20,0.440,0.04,1.40,0.036,43.0,119.0,0.9894,3.36,0.33,12.1
8,5.20,0.440,0.04,1.40,0.036,43.0,119.0,0.9894,3.36,0.33,12.1
7,6.10,0.320,0.24,1.50,0.036,38.0,124.0,0.9898,3.29,0.42,12.4
5,6.40,0.220,0.56,14.50,0.055,27.0,159.0,0.998,2.98,0.40,9.1
5,6.30,0.360,0.30,4.80,0.049,14.0,85.0,0.9932,3.28,0.39,10.6
6,7.40,0.240,0.42,14.00,0.066,48.0,198.0,0.9979,2.89,0.42,8.9
5,6.70,0.240,0.35,13.10,0.050,64.0,205.0,0.997,3.15,0.50,9.5
5,7.00,0.230,0.36,13.00,0.051,72.0,177.0,0.9972,3.16,0.49,9.8
6,8.40,0.270,0.46,8.70,0.048,39.0,197.0,0.9974,3.14,0.59,9.6
7,6.70,0.460,0.18,2.40,0.034,25.0,98.0,0.9896,3.08,0.44,12.6
5,7.50,0.290,0.31,8.95,0.055,20.0,151.0,0.9968,3.08,0.54,9.3
5,9.80,0.420,0.48,9.85,0.034,5.0,110.0,0.9958,2.87,0.29,10
6,7.10,0.300,0.46,1.50,0.066,29.0,133.0,0.9906,3.12,0.54,12.7
6,7.90,0.190,0.45,1.50,0.045,17.0,96.0,0.9917,3.13,0.39,11
4,7.60,0.480,0.37,0.80,0.037,4.0,100.0,0.9902,3.03,0.39,11.4
7,6.30,0.220,0.43,4.55,0.038,31.0,130.0,0.9918,3.35,0.33,11.5
5,7.50,0.270,0.31,17.70,0.051,33.0,173.0,0.999,3.09,0.64,10.2
6,6.90,0.230,0.40,7.50,0.040,50.0,151.0,0.9927,3.11,0.27,11.4
4,7.20,0.320,0.47,5.10,0.044,19.0,65.0,0.991,3.03,0.41,12.6
5,5.90,0.230,0.30,12.90,0.054,57.0,170.0,0.9972,3.28,0.39,9.4
4,6.00,0.670,0.07,1.20,0.060,9.0,108.0,0.9931,3.11,0.35,8.7
6,6.40,0.250,0.32,5.50,0.049,41.0,176.0,0.995,3.19,0.68,9.2
6,6.40,0.330,0.31,5.50,0.048,42.0,173.0,0.9951,3.19,0.66,9.3
5,7.10,0.340,0.15,1.20,0.053,61.0,183.0,0.9936,3.09,0.43,9.2
5,6.80,0.280,0.40,22.00,0.048,48.0,167.0,1.001,2.93,0.50,8.7
6,6.90,0.270,0.40,14.00,0.050,64.0,227.0,0.9979,3.18,0.58,9.6
5,6.80,0.260,0.56,11.90,0.043,64.0,226.0,0.997,3.02,0.63,9.3
5,6.80,0.290,0.56,11.90,0.043,66.0,230.0,0.9972,3.02,0.63,9.3
6,6.70,0.240,0.41,9.40,0.040,49.0,166.0,0.9954,3.12,0.61,9.9
5,5.90,0.300,0.23,4.20,0.038,42.0,119.0,0.9924,3.15,0.50,11
8,6.80,0.530,0.35,3.80,0.034,26.0,109.0,0.9906,3.26,0.57,12.7
4,6.50,0.280,0.28,8.50,0.047,54.0,210.0,0.9962,3.09,0.54,8.9
6,6.60,0.280,0.28,8.50,0.052,55.0,211.0,0.9962,3.09,0.55,8.9
5,6.80,0.280,0.40,22.00,0.048,48.0,167.0,1.001,2.93,0.50,8.7
6,6.80,0.280,0.36,8.00,0.045,28.0,123.0,0.9928,3.02,0.37,11.4
5,6.60,0.150,0.34,5.10,0.055,34.0,125.0,0.9942,3.36,0.42,9.6
5,6.40,0.290,0.44,3.60,0.200,75.0,181.0,0.9942,3.02,0.41,9.1
6,6.40,0.300,0.45,3.50,0.197,76.0,180.0,0.9942,3.02,0.39,9.1
5,6.40,0.290,0.44,3.60,0.197,75.0,183.0,0.9942,3.01,0.38,9.1
5,6.80,0.260,0.24,7.80,0.052,54.0,214.0,0.9961,3.13,0.47,8.9
5,7.10,0.320,0.24,13.10,0.050,52.0,204.0,0.998,3.10,0.49,8.8
5,6.80,0.260,0.24,7.80,0.052,54.0,214.0,0.9961,3.13,0.47,8.9
5,6.80,0.270,0.26,16.10,0.049,55.0,196.0,0.9984,3.15,0.50,9.3
5,7.10,0.320,0.24,13.10,0.050,52.0,204.0,0.998,3.10,0.49,8.8
5,6.90,0.540,0.32,13.20,0.050,53.0,236.0,0.9973,3.20,0.50,9.6
6,6.80,0.260,0.34,13.90,0.034,39.0,134.0,0.9949,3.33,0.53,12
4,5.80,0.280,0.35,2.30,0.053,36.0,114.0,0.9924,3.28,0.50,10.2
5,6.40,0.210,0.50,11.60,0.042,45.0,153.0,0.9972,3.15,0.43,8.8
5,7.00,0.160,0.32,8.30,0.045,38.0,126.0,0.9958,3.21,0.34,9.2
4,10.20,0.440,0.88,6.20,0.049,20.0,124.0,0.9968,2.99,0.51,9.9
5,6.80,0.570,0.29,2.20,0.040,15.0,77.0,0.9938,3.32,0.74,10.2
6,6.10,0.400,0.31,0.90,0.048,23.0,170.0,0.993,3.22,0.77,9.5
5,5.60,0.245,0.25,9.70,0.032,12.0,68.0,0.994,3.31,0.34,10.5
7,6.80,0.180,0.38,1.40,0.038,35.0,111.0,0.9918,3.32,0.59,11.2
5,7.00,0.160,0.32,8.30,0.045,38.0,126.0,0.9958,3.21,0.34,9.2
6,6.70,0.130,0.29,5.30,0.051,31.0,122.0,0.9944,3.44,0.37,9.7
7,6.20,0.250,0.25,1.40,0.030,35.0,105.0,0.9912,3.30,0.44,11.1
5,5.80,0.260,0.24,9.20,0.044,55.0,152.0,0.9961,3.31,0.38,9.4
5,7.50,0.270,0.36,7.00,0.036,45.0,164.0,0.9939,3.03,0.33,11
5,5.80,0.260,0.24,9.20,0.044,55.0,152.0,0.9961,3.31,0.38,9.4
5,5.70,0.280,0.24,17.50,0.044,60.0,167.0,0.9989,3.31,0.44,9.4
5,7.50,0.230,0.36,7.00,0.036,43.0,161.0,0.9938,3.04,0.32,11
5,7.50,0.270,0.36,7.00,0.036,45.0,164.0,0.9939,3.03,0.33,11
6,7.20,0.685,0.21,9.50,0.070,33.0,172.0,0.9971,3.00,0.55,9.1
7,6.20,0.250,0.25,1.40,0.030,35.0,105.0,0.9912,3.30,0.44,11.1
6,6.50,0.190,0.30,0.80,0.043,33.0,144.0,0.9936,3.42,0.39,9.1
6,6.30,0.495,0.22,1.80,0.046,31.0,140.0,0.9929,3.39,0.54,10.4
5,7.10,0.240,0.41,17.80,0.046,39.0,145.0,0.9998,3.32,0.39,8.7
6,6.40,0.170,0.32,2.40,0.048,41.0,200.0,0.9938,3.50,0.50,9.7
6,7.10,0.250,0.32,10.30,0.041,66.0,272.0,0.9969,3.17,0.52,9.1
6,6.40,0.170,0.32,2.40,0.048,41.0,200.0,0.9938,3.50,0.50,9.7
5,7.10,0.240,0.41,17.80,0.046,39.0,145.0,0.9998,3.32,0.39,8.7
4,6.80,0.640,0.08,9.70,0.062,26.0,142.0,0.9972,3.37,0.46,8.9
